路線別着時間帯別駅間輸送定員表,,,単位：人,,,,,,,,,,,,,,,,,,,,
事業者名,路線名,方向,発駅名,着駅名,"始発～
　 6:59","7:00～
　 7:29","7:30～
　 7:59","8:00～
　 8:29","8:30～
　 8:59","9:00～
　 9:29","9:30～
　 9:59","10:00～
　 10:59","11:00～
　 12:59","13:00～
　 14:59","15:00～
　 16:59","17:00～
　 17:59","18:00～
　 18:59","19:00～
　 19:59","20:00～
　 20:59","21:00～
　 21:59","22:00～
　 22:59","23:00～
　 23:59","24:00～
　   終発"
,,,大阪,塚本,"18,251","9,155","14,356","17,331","12,974","11,918","10,451","18,649","35,123","34,780","38,027","21,436","20,998","20,612","19,962","19,773","14,915","14,108","5,422"
,,,塚本,尼崎,"17,412","8,929","14,356","17,331","12,974","11,918","10,451","18,649","35,123","34,780","38,027","21,436","20,998","20,612","19,962","19,773","14,915","15,173","5,422"
,,,尼崎,立花,"17,412","8,929","11,645","16,266","13,555","10,528","10,776","21,844","35,123","34,780","40,157","25,696","25,258","22,742","19,962","19,773","15,980","14,108","6,487"
,,,立花,甲子園口,"17,412","7,827","11,682","16,266","13,555","11,345","10,185","21,618","35,123","34,780","41,222","24,018","25,572","24,106","19,962","19,773","14,915","15,173","6,487"
,,,甲子園口,西宮,"17,412","7,827","10,036","16,266","15,201","10,280","11,250","20,516","35,402","34,501","41,242","25,100","25,572","22,716","20,270","19,773","15,997","14,108","6,487"
,,,西宮,さくら夙川,"16,347","7,827","10,036","16,266","14,620","11,926","10,185","21,581","35,402","34,501","39,112","25,100","25,572","22,716","21,335","19,773","17,062","13,043","7,552"
,,,さくら夙川,芦屋,"16,347","6,181","11,682","15,201","14,620","11,909","11,267","20,516","35,402","34,501","40,177","25,100","25,572","22,716","21,335","19,773","15,416","14,689","7,552"
,,,芦屋,甲南山手,"14,443","8,085","10,036","16,847","13,555","11,909","9,621","23,227","35,402","34,501","40,177","24,035","25,572","22,716","21,335","19,773","15,416","15,754","7,552"
,,,甲南山手,摂津本山,"14,443","7,020","10,036","16,847","12,974","11,909","11,267","22,162","35,402","34,501","38,531","25,100","25,572","22,716","21,335","19,773","17,062","14,689","8,617"
,,,摂津本山,住吉,"14,443","7,020","10,036","15,201","14,620","10,844","12,332","20,516","35,966","34,501","39,613","25,100","23,442","24,846","21,335","19,773","17,062","14,689","8,617"
,,,住吉,六甲道,"13,378","7,020","9,423","16,879","14,620","10,844","11,267","21,581","35,966","34,501","38,548","24,035","25,572","23,781","21,335","19,773","17,062","15,754","8,617"
,,,六甲道,灘,"13,378","5,938","9,440","15,233","16,266","11,909","10,428","21,355","35,966","34,501","37,967","24,003","25,604","24,063","21,617","19,209","18,708","15,754","8,617"
,,,灘,三ノ宮,"12,313","7,003","9,440","15,233","15,201","11,909","11,493","20,253","35,986","34,481","39,069","24,003","25,604","24,063","21,617","19,209","17,062","15,754","10,263"
,,,三ノ宮,元町,"12,313","5,938","9,403","13,624","16,266","11,909","12,074","21,318","35,986","34,481","38,004","24,003","25,604","24,063","21,617","19,209","17,062","15,141","11,941"
,,,元町,神戸,"11,248","7,003","8,338","14,689","15,201","12,974","11,918","20,409","35,986","34,481","39,069","24,003","25,604","24,063","21,617","19,209","17,062","14,076","13,006"
,,,,,,,,,,,,,,,,,,,,,,,
,,上り,神戸,元町,"24,544","14,951","15,685","15,685","10,580","9,493","9,370","20,585","35,872","35,269","36,808","20,336","19,452","20,466","21,404","18,450","14,331","9,198","3,195"
,,,元町,三ノ宮,"23,479","14,951","14,039","17,331","11,645","9,493","9,370","20,585","35,624","35,517","35,743","20,336","19,452","20,466","21,404","18,413","14,594","8,391","4,841"
,,,三ノ宮,灘,"23,479","13,305","14,620","17,331","11,397","9,741","9,370","20,337","35,872","35,269","36,808","20,584","19,452","20,466","21,404","18,413","14,594","8,391","4,841"
,,,灘,六甲道,"22,089","13,630","15,685","15,685","13,043","9,741","9,370","20,337","35,872","35,269","35,743","20,584","19,452","20,466","21,404","18,413","14,594","9,456","4,841"
,,,六甲道,住吉,"20,443","13,630","16,266","15,685","12,718","11,131","8,531","19,530","36,695","35,253","36,582","20,584","19,452","20,466","21,404","18,413","14,594","9,456","4,841"
,,,住吉,摂津本山,"19,378","13,630","14,620","15,685","14,364","11,357","9,370","19,530","36,695","35,253","35,500","20,584","19,452","20,158","21,116","18,445","14,594","10,037","5,906"
,,,摂津本山,甲南山手,"19,378","13,630","14,620","15,685","14,364","10,292","9,370","19,530","36,695","35,253","36,565","20,584","19,452","20,158","21,116","17,380","14,594","11,102","5,906"
,,,甲南山手,芦屋,"18,313","14,695","13,555","15,685","15,429","10,292","9,370","19,530","36,695","35,253","35,500","20,584","19,452","20,158","21,116","18,445","14,594","11,102","5,906"
,,,芦屋,さくら夙川,"18,313","11,952","16,298","12,974","15,429","10,292","9,370","19,530","36,695","35,253","38,211","20,584","19,452","20,158","20,051","19,510","14,594","11,102","5,906"
,,,さくら夙川,西宮,"18,313","10,306","15,233","15,685","15,429","10,292","9,370","19,530","36,695","35,253","35,500","20,584","19,452","20,158","21,116","20,091","14,594","12,167","5,906"
,,,西宮,甲子園口,"16,183","11,371","15,233","15,685","15,429","11,357","9,370","19,530","36,695","35,253","35,500","20,584","19,452","20,158","21,116","20,091","14,594","12,167","5,906"
,,,甲子園口,立花,"16,146","12,473","13,587","17,331","15,429","10,292","9,370","19,530","36,695","35,253","35,500","20,584","19,452","20,158","21,116","19,510","15,158","13,249","5,906"
,,,立花,尼崎,"15,081","12,473","13,587","17,331","15,429","11,357","8,547","18,707","37,239","35,273","36,582","20,584","19,452","20,158","21,116","19,510","15,158","12,184","6,971"
,,,尼崎,塚本,"17,211","13,239","13,886","15,685","14,620","11,645","8,584","14,447","28,719","31,013","44,000","24,556","24,020","24,398","24,331","19,527","15,158","13,249","6,971"
,,,塚本,大阪,"17,211","10,528","15,532","14,039","16,266","11,645","8,584","14,447","28,719","31,013","43,844","24,712","24,020","24,242","24,239","20,840","15,158","13,249","6,971"
,,,大阪,新大阪,"16,146","12,720","14,019","16,812","15,521","12,191","10,039","15,529","30,911","29,975","44,908","25,638","28,322","24,788","26,386","21,386","15,158","13,249","6,487"
,,,新大阪,東淀川,"16,146","10,265","15,999","15,344","15,550","13,186","12,037","16,025","31,407","30,471","45,404","26,472","28,818","25,626","26,882","21,882","15,406","13,497","7,552"
,,,東淀川,吹田,"13,979","12,432","14,353","15,925","15,550","14,003","11,446","15,762","31,427","30,471","46,486","26,472","27,736","26,708","26,882","21,882","15,406","13,497","7,552"
,,,吹田,岸辺,"12,914","10,302","15,418","16,990","13,904","15,649","11,446","15,762","31,427","30,471","45,384","25,896","29,414","25,344","26,054","22,428","15,970","14,579","7,552"
,,,岸辺,千里丘,"12,914","8,656","17,064","14,279","15,550","16,714","11,446","15,762","31,427","30,471","45,384","25,896","28,332","26,426","26,054","22,428","15,970","14,579","7,552"
,,,千里丘,茨木,"10,203","10,302","16,451","15,957","15,550","16,714","10,381","16,827","31,427","28,341","45,384","25,896","28,332","26,426","26,054","23,493","15,970","14,579","8,617"
,,,茨木,摂津富田,"10,203","10,302","15,386","15,957","13,904","18,360","11,086","17,187","31,427","28,341","45,384","25,558","28,670","26,084","26,396","23,493","15,970","14,579","8,617"
,,,摂津富田,高槻,"9,138","10,302","14,805","14,892","16,615","15,649","11,086","18,833","31,427","28,341","44,302","24,994","28,670","26,084","26,396","23,493","18,681","14,579","8,617"
,,,高槻,島本,"9,138","8,135","12,413","12,480","12,936","10,324","8,956","15,057","23,471","20,886","28,344","16,474","20,150","17,564","17,876","18,168","14,421","11,384","6,487"
,,,島本,山崎,"8,073","9,200","10,812","13,535","11,836","10,034","9,244","15,320","23,774","21,145","27,782","16,241","20,120","18,110","17,332","18,732","13,857","11,384","8,133"
,,,山崎,長岡京,"8,073","8,135","11,877","12,470","10,709","12,226","9,244","15,320","23,774","21,145","27,782","16,241","19,055","19,175","17,332","18,732","12,755","11,647","8,972"
,,,長岡京,向日町,"6,971","8,691","12,423","10,824","12,355","10,580","9,825","16,385","23,774","20,080","27,782","16,241","20,120","17,862","17,424","18,342","14,366","11,647","8,972"
,,,向日町,桂川,"6,971","8,691","8,647","12,954","13,617","10,964","9,577","16,633","23,774","20,080","27,782","16,241","19,074","18,908","17,424","18,094","14,614","11,647","8,972"
