性・年齢階層別利用者数,,,,,,,,,,,,,,,,,,,
　属性別利用者数：居住地ブロック別性・年齢階層別利用者数（定期券利用者、通勤・通学別）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
通勤・通学,性別,地域,～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70歳～,不明,,,
通勤,女性,京都市,0,0,"8,052","7,943","6,864","5,685","4,875","3,718","3,154","2,177","1,584",924,363,235,,,
通勤,女性,京都南部,0,32,"3,342","4,539","3,487","3,613","3,401","1,897","2,111","1,394","1,241","1,238",147,80,,,
通勤,女性,北和,0,0,"2,919","3,200","2,777","3,371","4,314","2,950","2,642","2,535","1,479","1,063","1,564",228,,,
通勤,女性,中和西部,0,0,571,"1,431","1,097",736,487,847,424,364,381,287,98,47,,,
通勤,女性,中和東部,0,0,217,889,405,578,604,510,599,178,339,112,0,133,,,
通勤,女性,南和,0,0,0,0,40,0,0,33,0,37,0,0,0,0,,,
通勤,女性,大津湖南,0,67,"2,502","5,854","3,298","2,907","3,289","2,536","2,387","1,524","1,223",617,212,203,,,
通勤,女性,甲賀,0,0,231,0,0,152,109,59,31,30,105,0,0,0,,,
通勤,女性,中部,0,50,"1,001",563,0,182,287,126,211,148,184,58,0,64,,,
通勤,女性,琵琶湖東北部,0,0,217,220,161,0,198,19,19,48,0,0,0,0,,,
通勤,女性,橋本,0,0,259,75,278,131,105,112,67,110,50,0,0,22,,,
通勤,女性,和歌山,0,0,"1,017",781,562,505,167,256,272,126,53,0,0,0,,,
通勤,女性,伊賀,0,0,0,172,0,0,118,105,47,59,40,0,0,0,,,
通勤,女性,不明,123,0,"5,731","6,423","5,817","5,195","5,880","5,280","4,259","3,888","4,126","4,070","2,483",800,,,
通勤,女性,近畿圏計,298,"1,493","105,163","142,225","111,564","96,305","100,654","83,394","68,598","49,302","37,634","29,561","17,970","6,358",,,
通勤,不明,都心３区,0,0,0,0,0,0,0,0,0,0,0,0,0,35,,,
通勤,不明,副都心２区,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
